Location,Observer,Session,Date,Period,Time,Sunrise,Sunset,Species,Count,Temp
Panama,Jenni,2,2023-01-24,Dawn,7:15:11,6:41:00,18:24:00,Streaked_Saltator,2,28
Panama,Jenni,2,2023-01-24,Dawn,7:17:20,6:41:00,18:24:00,Olive-striped_Flycatcher,1,28
Panama,Jenni,2,2023-01-24,Dawn,7:18:43,6:41:00,18:24:00,Gray-headed_Chachalaca,5,28
Panama,Jenni,2,2023-01-24,Dawn,7:23:04,6:41:00,18:24:00,Black-chested_Jay,2,28
Panama,Jenni,2,2023-01-24,Dawn,7:27:14,6:41:00,18:24:00,Buff-rumped_Warbler,1,28
Canada,Jenni,1,2023-01-24,Dawn,8:23:51,8:23:00,17:27:00,Common_Redpoll,36,-16
Canada,Jenni,1,2023-01-24,Dawn,8:25:08,8:23:00,17:27:00,Black-capped_Chickadee,2,-16
Canada,Jenni,1,2023-01-24,Dawn,8:29:33,8:23:00,17:27:00,Pine_Grosbeak,11,-16
Canada,Jenni ,1,2023-01-24,Dawn,8:36:17,8:23:00,17:27:00,Evening_Grosbeak,6,-16
Panama,Jenni ,3,2023-01-24,Noon,12:00:21,6:41:00,18:24:00,Gray-headed_Chachalaca,6,28
Panama,Jenni ,3,2023-01-24,Noon,12:00:44,6:41:00,18:24:00,Keel-billed_Toucan,1,28
Panama,Jenni ,3,2023-01-24,Noon,12:09:19,6:41:00,18:24:00,Crimson-backed_Tanager,1,28
Canada,Jenni ,4,2023-01-24,Noon,12:00:03,8:23:00,17:27:00,Common_Redpoll,21,-16
Canada,Jenni ,4,2023-01-24,Noon,12:04:47,8:23:00,17:27:00,Black-capped_Chickadee,4,-16
Canada,Jenni ,4,2023-01-24,Noon,12:04:52,8:23:00,17:27:00,Canada_Jay,2,-16
Canada,Jenni ,4,2023-01-24,Noon,12:06:38,8:23:00,17:27:00,Pine_Grosbeak,4,-16
Canada,Jenni ,4,2023-01-24,Noon,12:08:44,8:23:00,17:27:00,Blue_ Jay,2,-16
Panama,Jenni ,5,2023-01-24,Dusk,18:02:25,6:41:00,18:24:00,Dusky-faced_Tanager,1,25
Panama,Jenni ,5,2023-01-24,Dusk,18:03:17,6:41:00,18:24:00,Black-chested_Jay,1,25
Panama,Jenni ,5,2023-01-24,Dusk,18:06:20,6:41:00,18:24:00,Crimson-backed_Tanager,2,25
Panama,Jenni ,5,2023-01-24,Dusk,18:06:20,6:41:00,18:24:00,Ochre-bellied_Flycathcer,1,25
Panama,Jenni ,5,2023-01-24,Dusk,18:06:21,6:41:00,18:24:00,Swaison_Thrush,2,25
Panama,Jenni ,5,2023-01-24,Dusk,18:07:14,6:41:00,18:24:00,Palm_Tanager,1,25
Panama,Jenni ,5,2023-01-24,Dusk,18:07:16,6:41:00,18:24:00,Buff-throated_Salator,2,25
Panama,Jenni ,5,2023-01-24,Dusk,18:10:07,6:41:00,18:24:00,Blue-gray_Tanager,1,25
Panama,Jenni ,5,2023-01-24,Dusk,18:11:19,6:41:00,18:24:00,Olive-striped_Flycatcher,2,25
Panama,Jenni ,5,2023-01-24,Dusk,18:15:58,6:41:00,18:24:00,Gray-headed_Chachalaca,1,25
Canada,Jenni ,6,2023-01-24,Dusk,17:12:00,8:23:00,17:27:00,Black-capped_Chickadee,4,-19
Panama,Jodie ,7,2023-01-27,Dawn,6:39:50,6:38:00,18:25:00,Clay-colored_Thrush,1,27
Panama,Jodie ,7,2023-01-27,Dawn,6:43:27,6:38:00,18:25:00,Gray-headed_Chachalaca,5,27
Panama,Jodie ,7,2023-01-27,Dawn,6:47:42,6:38:00,18:25:00,Black-Chested_Jay,5,27
Panama,Jodie ,7,2023-01-27,Dawn,7:01:57,6:38:00,18:25:00,Buff-throated_Saltator,1,27
Panama,Jodie ,7,2023-01-27,Dawn,7:02:58,6:38:00,18:25:00,Dusky-faced_Tanager,2,27
Panama,Jodie ,7,2023-01-27,Dawn,7:03:06,6:38:00,18:25:00,Red-crowned_Ant-Tanager,1,27
Panama,Jodie ,7,2023-01-27,Dawn,7:04:07,6:38:00,18:25:00,Palm_Tanager,1,27
Panama,Jodie ,7,2023-01-27,Dawn,7:07:08,6:38:00,18:25:00,Blue-gray_Tanager,1,27
Canada,Jodie ,8,2023-01-27,Dawn,8:21:05,8:21:00,17:30:00,Pine_Siskin,6,-6
Canada,Jodie ,8,2023-01-27,Dawn,8:21:10,8:21:00,17:30:00,Common_Redpoll,23,-6
Canada,Jodie ,8,2023-01-27,Dawn,8:21:15,8:21:00,17:30:00,Black-capped_Chickadee,2,-6
Canada,Jodie ,8,2023-01-27,Dawn,8:44:32,8:21:00,17:30:00,Blue_ Jay,2,-6
Panama,Jodie ,9,2023-01-27,Noon,12:13:55,6:38:00,18:22:00,Clay-colored_Thrush,2,28
Panama,Jodie ,9,2023-01-27,Noon,12:13:55,6:38:00,18:22:00,Red-crowned_Ant-Tanager,1,28
Panama,Jodie ,9,2023-01-27,Noon,12:13:14,6:38:00,18:22:00,Buff-throated_Salator,2,28
Panama,Jodie ,9,2023-01-27,Noon,12:14:50,6:38:00,18:22:00,Blue-gray_Tanager,1,28
Panama,Jodie ,9,2023-01-27,Noon,12:16:17,6:38:00,18:22:00,Chestnut-headed_Oropendola,1,28
Panama,Jodie ,9,2023-01-27,Noon,12:20:20,6:38:00,18:22:00,**Humming_Bird_Unknown***,1,28
Panama,Jodie ,9,2023-01-27,Noon,12:22:40,6:38:00,18:22:00,Crimson-backed_Tanager,1,28
Panama,Jodie ,9,2023-01-27,Noon,12:25:07,6:38:00,18:22:00,Red-crowned_Ant-Tanager,1,28
Panama,Jodie ,9,2023-01-27,Noon,12:27:37,6:38:00,18:22:00,Collared_Aracari,3,28
Canada,Jodie ,10,2023-01-27,Noon,12:00:08,8:21:00,17:30:00,Common_Redpoll,10,-6
Canada,Jodie ,10,2023-01-27,Noon,12:00:08,8:21:00,17:30:00,Pine_Siskin,8,-6
Canada,Jodie ,10,2023-01-27,Noon,12:05:53,8:21:00,17:30:00,Blue_ Jay,1,-6
Canada,Jodie ,10,2023-01-27,Noon,12:06:50,8:21:00,17:30:00,Black-capped_Chickadee,2,-6
Canada,Jodie ,10,2023-01-27,Noon,12:18:03,8:21:00,17:30:00,White-winged_Crossbill,1,-6
Panama,Jodie ,11,2023-01-27,Dusk,17:52:00,6:38:00,18:22:00,Gray-headed_Chachalaca,6,22
Panama,Jodie ,11,2023-01-27,Dusk,17:58:14,6:38:00,18:22:00,Clay-colored_Thrush,2,22
Panama,Jodie ,11,2023-01-27,Dusk,17:58:14,6:38:00,18:22:00,Blue-gray_Tanager,2,22
Panama,Jodie ,11,2023-01-27,Dusk,17:58:29,6:38:00,18:22:00,Streaked_Saltator,1,22
Panama,Jodie ,11,2023-01-27,Dusk,18:00:39,6:38:00,18:22:00,Red-crowned_Ant-Tanager,1,22
Panama,Jodie ,11,2023-01-27,Dusk,18:00:39,6:38:00,18:22:00,Black-headed_Saltator,1,22
Panama,Jodie ,11,2023-01-27,Dusk,18:14:48,6:38:00,18:22:00,Crimson-backed_Tanager,1,22
Panama,Jodie ,11,2023-01-27,Dusk,18:18:02,6:38:00,18:22:00,**Humming_Bird_Unknown***,1,22
Canada,Jodie ,12,2023-01-27,Dusk,17:33:30,8:21:00,17:30:00,Black-capped_Chickadee,2,-12
Canada,Kyle,13,2023-01-30,Dawn,8:16:00,8:16:00,17:38:00,Common_Redpoll,40,-21
Canada,Kyle,13,2023-01-30,Dawn,8:17:00,8:16:00,17:38:00,Black-capped_Chickadee,2,-21
Canada,Kyle,13,2023-01-30,Dawn,8:29:00,8:16:00,17:38:00,Pine_Grosbeak,1,-21
Panama,Kyle,14,2023-01-30,Dawn,6:58:00,6:41:00,18:27:00,Gray-headed_Chachalaca,7,26
Panama,Kyle,14,2023-01-30,Dawn,7:00:00,6:41:00,18:27:00,Crimson-backed_Tanager,3,26
Panama,Kyle,14,2023-01-30,Dawn,7:02:00,6:41:00,18:27:00,Red-crowned_Ant-Tanager,2,26
Panama,Kyle,14,2023-01-30,Dawn,7:06:00,6:41:00,18:27:00,Streaked_Saltator,1,26
Panama,Kyle,14,2023-01-30,Dawn,7:07:00,6:41:00,18:27:00,Clay-colored_Thrush,2,26
Panama,Kyle,14,2023-01-30,Dawn,7:13:00,6:41:00,18:27:00,Black-chested_Jay,2,26
Panama,Kyle,14,2023-01-30,Dawn,7:19:00,6:41:00,18:27:00,Blue-gray_Tanager,1,26
Panama,Kyle,14,2023-01-30,Dawn,7:21:00,6:41:00,18:27:00,Olive-striped_Flycatcher,3,26
Panama,Kyle,14,2023-01-30,Dawn,7:22:00,6:41:00,18:27:00,Black-headed_Saltator,1,26
Panama,Kyle,14,2023-01-30,Dawn,7:23:00,6:41:00,18:27:00,Summer_Tanager,1,26
Canada,Kyle,15,2023-01-30,Noon,12:00:00,8:16:00,17:38:00,Blue_ Jay,3,-27
Canada,Kyle,15,2023-01-30,Noon,12:04:00,8:16:00,17:38:00,Common_Redpoll,50,-27
Canada,Kyle,15,2023-01-30,Noon,12:11:00,8:16:00,17:38:00,Pine_Grosbeak,6,-27
Canada,Kyle,15,2023-01-30,Noon,12:11:00,8:16:00,17:38:00,Black-capped_Chickadee,6,-27
Panama,Kyle,16,2023-01-30,Noon,12:05:00,6:41:00,18:27:00,Dusky-faced_Tanager,2,22
Panama,Kyle,16,2023-01-30,Noon,12:12:00,6:41:00,18:27:00,Clay-colored_Thrush,1,22
Panama,Kyle,16,2023-01-30,Noon,12:12:00,6:41:00,18:27:00,Summer_Tanager,2,22
Panama,Kyle,16,2023-01-30,Noon,12:12:00,6:41:00,18:27:00,Crimson-backed_Tanager,3,22
Panama,Kyle,16,2023-01-30,Noon,12:19:00,6:41:00,18:27:00,Chestnut-headed_Oropendola,1,22
Canada,Kyle,17,2023-01-30,Dusk,12:11:00,8:16:00,17:38:00,Black-capped_Chickadee,8,-28
Panama,Jenni,18,2023-01-31,Dawn,7:03:01,6:42:00,18:27:00,Gray-headed_Chachalaca,5,28
Panama,Jenni,18,2023-01-31,Dawn,7:10:44,6:42:00,18:27:00,Clay-colored_Thrush,4,28
Panama,Jenni,18,2023-01-31,Dawn,7:11:19,6:42:00,18:27:00,Buff-throated_Salator,1,28
Panama,Jenni,18,2023-01-31,Dawn,7:18:43,6:42:00,18:27:00,Blue-gray_Tanager,2,28
Panama,Jenni,18,2023-01-31,Dawn,7:22:33,6:42:00,18:27:00,Lesser_Elaenia,1,28
Panama,Jenni,18,2023-01-31,Dawn,7:25:08,6:42:00,18:27:00,Black-chested_Jay,1,28
Canada,Jenni,19,2023-01-31,Dawn,8:15:00,8:15:00,17:38:00,Common_Redpoll,28,-15
Canada,Jenni,19,2023-01-31,Dawn,8:26:41,8:15:00,17:38:00,Black-capped_Chickadee,2,-15
Canada,Jenni,19,2023-01-31,Dawn,8:29:42,8:15:00,17:38:00,Downy_Woodpecker,1,-15
Canada,Jenni,19,2023-01-31,Dawn,8:32:18,8:15:00,17:38:00,Blue_ Jay,2,-15
Canada,Jenni,19,2023-01-31,Dawn,8:40:59,8:15:00,17:38:00,Pine_Grosbeak,1,-15
Panama,Jenni,20,2023-01-31,Noon,12:00:00,6:42:00,18:27:00,Clay-colored_Thrush,4,29
Panama,Jenni,20,2023-01-31,Noon,12:05:04,6:42:00,18:27:00,Crimson-backed_Tanager,1,29
Panama,Jenni,20,2023-01-31,Noon,12:05:18,6:42:00,18:27:00,Chestnut-headed_Oropendola,1,29
Panama,Jenni,20,2023-01-31,Noon,12:13:27,6:42:00,18:27:00,Blue-gray_Tanager,2,29
Panama,Jenni,20,2023-01-31,Noon,12:21:54,6:42:00,18:27:00,Red-crowned_Ant-Tanager,1,29
Canada,Jenni,21,2023-01-31,Noon,12:00:00,8:15:00,17:38:00,Common_Redpoll,20,-13
Canada,Jenni,21,2023-01-31,Noon,12:11:47,8:15:00,17:38:00,Black-capped_Chickadee,1,-13
Canada,Jenni,21,2023-01-31,Noon,12:14:15,8:15:00,17:38:00,Pine_Grosbeak,1,-13
Panama,Jenni,22,2023-01-31,Dusk,17:53:49,6:42:00,18:27:00,Gray-headed_Chachalaca,1,23
Panama,Jenni,22,2023-01-31,Dusk,18:00:27,6:42:00,18:27:00,Summer_Tanager,1,23
Panama,Jenni,22,2023-01-31,Dusk,18:00:38,6:42:00,18:27:00,Red-crowned_Ant-Tanager,1,23
Panama,Jenni,22,2023-01-31,Dusk,18:00:48,6:42:00,18:27:00,Crimson-backed_Tanager,1,23
Panama,Jenni,22,2023-01-31,Dusk,18:01:09,6:42:00,18:27:00,Blue-gray_Tanager,2,23
Panama,Jenni,22,2023-01-31,Dusk,18:01:54,6:42:00,18:27:00,Olive-striped_Flycatcher,1,23
Panama,Jenni,22,2023-01-31,Dusk,18:11:10,6:42:00,18:27:00,Buff-throated_Salator,1,23
Canada,Jenni,23,2023-01-31,Dusk,17:38:37,8:15:00,17:38:00,Black-capped_Chickadee,2,-22
Panama,Jodie,24,2023-02-03,Dawn,,6:39:00,18:25:00,Black-chested_Jay,1,21
Panama,Jodie,24,2023-02-03,Dawn,,6:39:00,18:25:00,Red-crowned_Ant-Tanager,1,21
Panama,Jodie,24,2023-02-03,Dawn,,6:39:00,18:25:00,Blue-gray_Tanager,2,21
Panama,Jodie,24,2023-02-03,Dawn,,6:39:00,18:25:00,Clay-colored_Thrush,1,21
Panama,Jodie,24,2023-02-03,Dawn,,6:39:00,18:25:00,Rufous_Motmot,1,21
Canada,Jodie,25,2023-02-03,Dawn,,8:10:00,17:43:00,Pine_Siskin,10,-27
Canada,Jodie,25,2023-02-03,Dawn,,8:10:00,17:43:00,Common_Redpoll,13,-27
Canada,Jodie,25,2023-02-03,Dawn,,8:10:00,17:43:00,White-winged_Crossbill,1,-27
Canada,Jodie,25,2023-02-03,Dawn,,8:10:00,17:43:00,Pine_Grosbeak,2,-27
